영양소,분류,기능성,관련_증상,키워드,근거_수준,근거_설명,신뢰도,출처,출처_URL
판토텐산,비타민,에너지 대사,피로,에너지,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
비타민 B6,비타민,단백질 대사,근육,단백질,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
비오틴,비타민,에너지 대사,피로,대사,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
엽산,비타민,세포·혈액 생성,빈혈,엽산,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
비타민 B12,비타민,정상적인 엽산 대사,빈혈,비타민B12,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
칼슘,무기질,뼈·치아 건강,골다공증,뼈,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
칼슘,무기질,신경·근육 기능,근육경련,근육,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
마그네슘,무기질,에너지 이용,피로,에너지,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
마그네슘,무기질,신경·근육 기능,근육경련,근육,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
철,무기질,혈액 생성,빈혈,철분,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
아연,무기질,면역기능,면역력 저하,면역,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
아연,무기질,세포분열,성장,세포,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
셀레늄,무기질,항산화,노화,항산화,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
요오드,무기질,갑상선호르몬 생성,갑상선,갑상선,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
구리,무기질,철 이용,빈혈,철,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
망간,무기질,뼈 형성,뼈,뼈,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
크롬,무기질,탄수화물 대사,혈당,당대사,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
몰리브덴,무기질,산화효소 구성,대사,효소,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
오메가3(EPA/DHA),기능성 원료,혈행 개선,혈액순환,혈관,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
오메가3(EPA/DHA),기능성 원료,혈중 중성지질 개선,중성지방,혈행,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
오메가3(EPA/DHA),기능성 원료,기억력 개선,기억력 저하,두뇌,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
루테인,기능성 원료,눈 건강,눈 피로,황반,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
프로바이오틱스,기능성 원료,장 건강,변비,장,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
프로바이오틱스,기능성 원료,유익균 증식,장내환경,유산균,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
밀크씨슬 추출물,기능성 원료,간 건강,간 피로,간,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
코엔자임Q10,기능성 원료,항산화,피로,항산화,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
코엔자임Q10,기능성 원료,혈압 건강,혈압,심혈관,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
글루코사민,기능성 원료,관절 건강,관절 통증,관절,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
MSM,기능성 원료,관절·연골 건강,관절 통증,관절,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
보스웰리아 추출물,기능성 원료,관절 건강,무릎 통증,관절,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
은행잎 추출물,기능성 원료,기억력 개선,기억력 저하,두뇌,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
홍삼,기능성 원료,면역력 증진,면역력 저하,면역,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
홍삼,기능성 원료,피로 개선,피로,활력,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
쏘팔메토 열매 추출물,기능성 원료,전립선 건강,배뇨,전립선,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
감마리놀렌산,기능성 원료,혈중 콜레스테롤 개선,콜레스테롤,혈관,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
테아닌,기능성 원료,스트레스로 인한 긴장 완화,스트레스,수면,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
가르시니아 캄보지아 추출물,기능성 원료,체지방 감소,다이어트,체중,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
난소화성말토덱스트린,기능성 원료,식후 혈당 상승 억제,혈당,혈당,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
차전자피 식이섬유,기능성 원료,배변활동 원활,변비,식이섬유,MFDS,식품의약품안전처에서 인정한 건강기능식품 기능성 근거,매우 높음,식품의약품안전처 고시 「건강기능식품의 기준 및 규격」,https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000226892
비타민 C,비타민,감기 지속기간 감소,감기,면역,Meta-analysis,여러 임상연구를 종합 분석한 근거,높음,"학술 메타분석 문헌(강의용 예시 — 특정 논문 미상, 개별 검증 필요)",
마그네슘,무기질,수면 질 개선,수면,잠,Clinical Study,사람 대상 임상연구,보통,"임상연구 문헌(강의용 예시 — 특정 논문 미상, 개별 검증 필요)",
